//ID,Type,Name,Level,Stack,Durability,TypeID1,TypeID2,TypeID3,TypeID4
01000000,ITEM_ETC_GOLD_01,Gold,0,0,0,3,3,5,0
02000000,ITEM_ETC_GOLD_02,Gold,0,0,0,3,3,5,0
03000000,ITEM_ETC_GOLD_03,Gold,0,0,0,3,3,5,0
04000000,ITEM_ETC_HP_POTION_01,HP Recovery Herb ,0,250,0,3,3,1,1
05000000,ITEM_ETC_HP_POTION_02,HP Recovery Potion (Small) ,0,250,0,3,3,1,1
06000000,ITEM_ETC_HP_POTION_03,HP Recovery Potion (Medium) ,0,250,0,3,3,1,1
07000000,ITEM_ETC_HP_POTION_04,HP Recovery Potion (Large) ,0,250,0,3,3,1,1
08000000,ITEM_ETC_HP_POTION_05,HP Recovery Potion (X-Large),0,250,0,3,3,1,1
09000000,ITEM_ETC_HP_SPOTION_01,HP Recovery Grain (Small),0,250,0,3,3,1,1
0B000000,ITEM_ETC_MP_POTION_01,MP Recovery Herb ,0,250,0,3,3,1,2
0C000000,ITEM_ETC_MP_POTION_02,MP Recovery Potion (Small) ,0,250,0,3,3,1,2
0D000000,ITEM_ETC_MP_POTION_03,MP Recovery Potion (Medium) ,0,250,0,3,3,1,2
0E000000,ITEM_ETC_MP_POTION_04,MP Recovery Potion (Large) ,0,250,0,3,3,1,2
0F000000,ITEM_ETC_MP_POTION_05,MP Recovery Potion (X-Large),0,250,0,3,3,1,2
10000000,ITEM_ETC_MP_SPOTION_01,MP Recovery Grain (Small),0,250,0,3,3,1,2
12000000,ITEM_ETC_ALL_POTION_01,Vigor Recovery Herb ,0,250,0,3,3,1,3
13000000,ITEM_ETC_ALL_POTION_02,Vigor Recovery Potion (Small) ,0,250,0,3,3,1,3
14000000,ITEM_ETC_ALL_POTION_03,Vigor Recovery Potion (Medium) ,0,250,0,3,3,1,3
15000000,ITEM_ETC_ALL_POTION_04,Vigor Recovery Potion (Large) ,0,250,0,3,3,1,3
16000000,ITEM_ETC_ALL_POTION_05,Vigor Recovery Potion (X-Large) ,0,250,0,3,3,1,3
17000000,ITEM_ETC_ALL_SPOTION_01,Vigor Recovery Grain (Small),0,250,0,3,3,1,3
37000000,ITEM_ETC_CURE_ALL_01,Universal Pill (small),0,250,0,3,3,2,6
38000000,ITEM_ETC_CURE_ALL_02,Universal Pill (medium),0,250,0,3,3,2,6
39000000,ITEM_ETC_CURE_ALL_03,Universal Pill (large),0,250,0,3,3,2,6
3A000000,ITEM_ETC_CURE_ALL_04,Special Universal Pill (small),0,250,0,3,3,2,6
3B000000,ITEM_ETC_CURE_ALL_05,Special Universal Pill (medium),0,250,0,3,3,2,6
3D000000,ITEM_ETC_SCROLL_RETURN_01,Return Scroll,0,50,0,3,3,3,1
3E000000,ITEM_ETC_AMMO_ARROW_01,Arrow ,0,500,0,3,3,4,1
3F000000,ITEM_ETC_FIREWORK_BOOMB_R,Bomb (red),0,10,0,3,3,6,1
40000000,ITEM_ETC_FIREWORK_BOOMB_G,Bomb (green),0,10,0,3,3,6,1
41000000,ITEM_ETC_FIREWORK_BOOMB_B,Bomb (blue),0,10,0,3,3,6,1
42000000,ITEM_ETC_FIREWORK_BOOMB_V,Bomb (violet),0,10,0,3,3,6,1
43000000,ITEM_ETC_FIREWORK_SPIN,Spin firework,0,1,0,3,3,6,1
44000000,ITEM_ETC_FIREWORK_SPRAY,Spray firework,0,1,0,3,3,6,1
45000000,ITEM_ETC_FIREWORK_CHAINBOMB,Chain bomb,0,10,0,3,3,6,1
46000000,ITEM_ETC_CAMPFIRE,Campfire,0,1,0,3,3,7,1
47000000,ITEM_CH_SWORD_01_A,Copper Sword,1,1,62,3,1,6,2
