//ID,Type,Name,Level,Hp,TypeID1,TypeID2,TypeID3,TypeID4
73070000,CHAR_CH_MAN_ADVENTURER,CHAR_CH_MAN_ADVENTURER,1,0,1,1,0,0
74070000,CHAR_CH_MAN_BOGY,CHAR_CH_MAN_BOGY,1,0,1,1,0,0
75070000,CHAR_CH_MAN_FIGHTER,CHAR_CH_MAN_FIGHTER,1,0,1,1,0,0
76070000,CHAR_CH_MAN_MERCHANT,CHAR_CH_MAN_MERCHANT,1,0,1,1,0,0
77070000,CHAR_CH_MAN_MONK,CHAR_CH_MAN_MONK,1,0,1,1,0,0
78070000,CHAR_CH_MAN_MONKEY,CHAR_CH_MAN_MONKEY,1,0,1,1,0,0
79070000,CHAR_CH_MAN_NECROMANCER,CHAR_CH_MAN_NECROMANCER,1,0,1,1,0,0
7A070000,CHAR_CH_MAN_NOBLEBOY,CHAR_CH_MAN_NOBLEBOY,1,0,1,1,0,0
7B070000,CHAR_CH_MAN_PERFORMER,CHAR_CH_MAN_PERFORMER,1,0,1,1,0,0
7C070000,CHAR_CH_MAN_PRIEST,CHAR_CH_MAN_PRIEST,1,0,1,1,0,0
7D070000,CHAR_CH_MAN_SCHOLAR,CHAR_CH_MAN_SCHOLAR,1,0,1,1,0,0
7E070000,CHAR_CH_MAN_TATTOO,CHAR_CH_MAN_TATTOO,1,0,1,1,0,0
7F070000,CHAR_CH_MAN_WARRIOR,CHAR_CH_MAN_WARRIOR,1,0,1,1,0,0
80070000,CHAR_CH_WOMAN_ADVENTURER,CHAR_CH_WOMAN_ADVENTURER,1,0,1,1,0,0
81070000,CHAR_CH_WOMAN_ASSASSIN,CHAR_CH_WOMAN_ASSASSIN,1,0,1,1,0,0
82070000,CHAR_CH_WOMAN_BOGY,CHAR_CH_WOMAN_BOGY,1,0,1,1,0,0
83070000,CHAR_CH_WOMAN_FIGHTER,CHAR_CH_WOMAN_FIGHTER,1,0,1,1,0,0
84070000,CHAR_CH_WOMAN_FOX,CHAR_CH_WOMAN_FOX,1,0,1,1,0,0
85070000,CHAR_CH_WOMAN_KANGSI,CHAR_CH_WOMAN_KANGSI,1,0,1,1,0,0
86070000,CHAR_CH_WOMAN_KISAENG,CHAR_CH_WOMAN_KISAENG,1,0,1,1,0,0
87070000,CHAR_CH_WOMAN_MERCHANT,CHAR_CH_WOMAN_MERCHANT,1,0,1,1,0,0
88070000,CHAR_CH_WOMAN_NECROMENCERB,CHAR_CH_WOMAN_NECROMENCERB,1,0,1,1,0,0
89070000,CHAR_CH_WOMAN_NECROMENCERW,CHAR_CH_WOMAN_NECROMENCERW,1,0,1,1,0,0
8A070000,CHAR_CH_WOMAN_NOBLEGIRL,CHAR_CH_WOMAN_NOBLEGIRL,1,0,1,1,0,0
8B070000,CHAR_CH_WOMAN_SCHOLAR,CHAR_CH_WOMAN_SCHOLAR,1,0,1,1,0,0
8C070000,CHAR_CH_WOMAN_WARRIOR,CHAR_CH_WOMAN_WARRIOR,1,0,1,1,0,0
8D070000,MOB_CH_MANGNYANG,Mangyang,1,54,1,2,1,1
8E070000,MOB_CH_BIGEYEGHOST_CLON,Small-eyed Ghost,2,55,1,2,1,1
