//ShopTab,ITEMType,Slot
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_09_A_RARE,20
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_09_B_RARE,21
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_09_C_RARE,22
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_10_A_RARE,23
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_10_B_RARE,24
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_10_C_RARE,25
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_A,26
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_A_RARE,28
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_B,27
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_B_RARE,29
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_09_A_RARE,10
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_09_B_RARE,11
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_09_C_RARE,12
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_10_A_RARE,13
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_10_B_RARE,14
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_10_C_RARE,15
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_A,16
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_A_RARE,18
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_B,17
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_B_RARE,19
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_09_A_RARE,0
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_09_B_RARE,1
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_09_C_RARE,2
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_10_A_RARE,3
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_10_B_RARE,4
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_10_C_RARE,5
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_A,6
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_A_RARE,8
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_B,7
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_B_RARE,9
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_09,0
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_10,1
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_11,2
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_09,3
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_10,4
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_11,5
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_ACCESSARY_B,6
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_ARMOR_B,7
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_SHIELD_B,8
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_WEAPON_B,9
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_09_A_RARE,20
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_09_B_RARE,21
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_09_C_RARE,22
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_10_A_RARE,23
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_10_B_RARE,24
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_10_C_RARE,25
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_A,26
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_A_RARE,28
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_B,27
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_B_RARE,29
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_09_A_RARE,10
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_09_B_RARE,11
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_09_C_RARE,12
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_10_A_RARE,13
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_10_B_RARE,14
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_10_C_RARE,15
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_A,16
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_A_RARE,18
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_B,17
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_B_RARE,19
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_09_A_RARE,0
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_09_B_RARE,1
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_09_C_RARE,2
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_10_A_RARE,3
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_10_B_RARE,4
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_10_C_RARE,5
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_11_SET_A,6
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_11_SET_A_RARE,8
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_11_SET_B,7
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_11_SET_B_RARE,9
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_09,0
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_10,1
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_11,2
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_09,3
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_10,4
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_11,5
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_ACCESSARY_B,6
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_ARMOR_B,7
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_SHIELD_B,8
STORE_BATTLE_ARENA_EU_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_WEAPON_B,9
STORE_BJ_BATTLEAIDE_TAB1,ITEM_COS_GUARD_CH_BOW_01,3
STORE_BJ_BATTLEAIDE_TAB1,ITEM_COS_GUARD_CH_BOW_02,2
STORE_BJ_BATTLEAIDE_TAB1,ITEM_COS_GUARD_CH_SPEAR_01,1
STORE_BJ_BATTLEAIDE_TAB1,ITEM_COS_GUARD_CH_SPEAR_02,0
STORE_CA_ACCESSORY_TAB1,ITEM_EU_EARRING_03_A,3
STORE_CA_ACCESSORY_TAB1,ITEM_EU_EARRING_04_A,4
STORE_CA_ACCESSORY_TAB1,ITEM_EU_EARRING_05_A,5
STORE_CA_ACCESSORY_TAB1,ITEM_EU_NECKLACE_03_A,6
STORE_CA_ACCESSORY_TAB1,ITEM_EU_NECKLACE_04_A,7
STORE_CA_ACCESSORY_TAB1,ITEM_EU_NECKLACE_05_A,8
STORE_CA_ACCESSORY_TAB1,ITEM_EU_RING_03_A,0
STORE_CA_ACCESSORY_TAB1,ITEM_EU_RING_04_A,1
STORE_CA_ACCESSORY_TAB1,ITEM_EU_RING_05_A,2
STORE_CA_ACCESSORY_TAB2,ITEM_CH_F_FRPVP_VOUCHER_A,7
STORE_CA_ACCESSORY_TAB2,ITEM_CH_F_FRPVP_VOUCHER_B,8
STORE_CA_ACCESSORY_TAB2,ITEM_CH_F_FRPVP_VOUCHER_C,9
STORE_CA_ACCESSORY_TAB2,ITEM_CH_F_FRPVP_VOUCHER_D,10
STORE_CA_ACCESSORY_TAB2,ITEM_CH_F_FRPVP_VOUCHER_E,11
STORE_CA_ACCESSORY_TAB2,ITEM_CH_M_FRPVP_VOUCHER_A,2
STORE_CA_ACCESSORY_TAB2,ITEM_CH_M_FRPVP_VOUCHER_B,3
STORE_CA_ACCESSORY_TAB2,ITEM_CH_M_FRPVP_VOUCHER_C,4
STORE_CA_ACCESSORY_TAB2,ITEM_CH_M_FRPVP_VOUCHER_D,5
STORE_CA_ACCESSORY_TAB2,ITEM_CH_M_FRPVP_VOUCHER_E,6
STORE_CA_ACCESSORY_TAB2,ITEM_ETC_SCROLL_RETURN_01,0
STORE_CA_ACCESSORY_TAB2,ITEM_ETC_SCROLL_RETURN_02,1
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_POTION_SPEED_05,9
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_POTION_SPEED_11,10
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_03,1
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_04,2
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_05,3
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_06,4
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_07,5
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_08,6
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_09,7
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_REINFORCE_PROB_UP_A_10,8
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_RONDO_01,11
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_ARCHEMY_RONDO_02,12
STORE_CA_ACCESSORY_TAB3,ITEM_ETC_TRADE_MATERIAL_DESTROYSTONE,0
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_03_AA_A,12
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_03_BA_A,6
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_03_CA_A,0
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_03_FA_A,15
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_03_LA_A,9
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_03_SA_A,3
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_04_AA_A,13
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_04_BA_A,7
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_04_CA_A,1
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_04_FA_A,16
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_04_LA_A,10
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_04_SA_A,4
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_05_AA_A,14
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_05_BA_A,8
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_05_CA_A,2
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_05_FA_A,17
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_05_LA_A,11
STORE_CA_ARMOR_TAB1,ITEM_EU_M_HEAVY_05_SA_A,5
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_03_AA_A,12
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_03_BA_A,6
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_03_CA_A,0
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_03_FA_A,15
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_03_LA_A,9
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_03_SA_A,3
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_04_AA_A,13
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_04_BA_A,7
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_04_CA_A,1
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_04_FA_A,16
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_04_LA_A,10
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_04_SA_A,4
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_05_AA_A,14
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_05_BA_A,8
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_05_CA_A,2
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_05_FA_A,17
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_05_LA_A,11
STORE_CA_ARMOR_TAB2,ITEM_EU_M_LIGHT_05_SA_A,5
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_03_AA_A,12
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_03_BA_A,6
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_03_CA_A,0
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_03_FA_A,15
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_03_LA_A,9
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_03_SA_A,3
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_04_AA_A,13
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_04_BA_A,7
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_04_CA_A,1
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_04_FA_A,16
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_04_LA_A,10
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_04_SA_A,4
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_05_AA_A,14
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_05_BA_A,8
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_05_CA_A,2
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_05_FA_A,17
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_05_LA_A,11
STORE_CA_ARMOR_TAB3,ITEM_EU_M_CLOTHES_05_SA_A,5
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_03_AA_A,12
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_03_BA_A,6
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_03_CA_A,0
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_03_FA_A,15
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_03_LA_A,9
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_03_SA_A,3
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_04_AA_A,13
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_04_BA_A,7
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_04_CA_A,1
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_04_FA_A,16
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_04_LA_A,10
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_04_SA_A,4
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_05_AA_A,14
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_05_BA_A,8
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_05_CA_A,2
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_05_FA_A,17
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_05_LA_A,11
STORE_CA_ARMOR_TAB4,ITEM_EU_W_HEAVY_05_SA_A,5
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_03_AA_A,12
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_03_BA_A,6
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_03_CA_A,0
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_03_FA_A,15
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_03_LA_A,9
STORE_CA_ARMOR_TAB5,ITEM_EU_W_LIGHT_03_SA_A,3
