//ID,Type,Name,CastTime,Cooldown,MP
01000000,SKILL_PUNCH_01,SKILL_PUNCH_01,1500,1500,0
02000000,SKILL_CH_SWORD_BASE_01,SKILL_CH_SWORD_BASE_01,1200,1200,0
03000000,SKILL_CH_SWORD_SMASH_A_01,Strike Smash,1022,3000,19
04000000,SKILL_CH_SWORD_SMASH_B_01,Stab Smash,1100,3000,91
05000000,SKILL_CH_SWORD_SMASH_C_01,Crosswise Smash ,500,3000,290
06000000,SKILL_CH_SWORD_CHAIN_A_1S_01,Illusion Chain,428,8000,32
07000000,SKILL_CH_SWORD_CHAIN_A_2S_01,Illusion Chain,612,0,0
08000000,SKILL_CH_SWORD_CHAIN_A_3S_01,Illusion Chain,993,0,0
09000000,SKILL_CH_SWORD_CHAIN_B_1S_01,Blood Chain,596,8000,153
0A000000,SKILL_CH_SWORD_CHAIN_B_2S_01,Blood Chain,602,0,0
0B000000,SKILL_CH_SWORD_CHAIN_B_3S_01,Blood Chain,605,0,0
0C000000,SKILL_CH_SWORD_CHAIN_B_4S_01,Blood Chain,630,0,0
0D000000,SKILL_CH_SWORD_CHAIN_C_1S_01,Billow Chain,585,8000,215
0E000000,SKILL_CH_SWORD_CHAIN_C_2S_01,Billow Chain,979,0,0
0F000000,SKILL_CH_SWORD_CHAIN_C_3S_01,Billow Chain,262,0,0
10000000,SKILL_CH_SWORD_CHAIN_C_4S_01,Billow Chain,644,0,0
11000000,SKILL_CH_SWORD_CHAIN_C_5S_01,Billow Chain,963,0,0
12000000,SKILL_CH_SWORD_CHAIN_D_1S_01,Ascension Chain,919,8000,474
13000000,SKILL_CH_SWORD_CHAIN_D_2S_01,Ascension Chain,426,0,0
14000000,SKILL_CH_SWORD_CHAIN_D_3S_01,Ascension Chain,854,0,0
15000000,SKILL_CH_SWORD_CHAIN_D_4S_01,Ascension Chain,834,0,0
16000000,SKILL_CH_SWORD_CHAIN_E_1S_01,Heaven Chain,210,8000,574
17000000,SKILL_CH_SWORD_CHAIN_E_2S_01,Heaven Chain,717,0,0
18000000,SKILL_CH_SWORD_CHAIN_E_3S_01,Heaven Chain,456,0,0
19000000,SKILL_CH_SWORD_CHAIN_E_4S_01,Heaven Chain,375,0,0
1A000000,SKILL_CH_SWORD_CHAIN_E_5S_01,Heaven Chain,1624,0,0
1B000000,SKILL_CH_SWORD_SHIELD_A_01,Castle Shield,0,60000,25
1C000000,SKILL_CH_SWORD_SHIELD_B_01,Mountain Shield,0,60000,90
1D000000,SKILL_CH_SWORD_SHIELD_C_01,Ironwall Shield,0,60000,218
1E000000,SKILL_CH_SWORD_GEOMGI_A_01,Soul Cut Blade,792,4000,34
1F000000,SKILL_CH_SWORD_GEOMGI_B_01,Evil Cut Blade,905,4000,127
20000000,SKILL_CH_SWORD_GEOMGI_C_01,Devil Cut Blade,741,4000,458
21000000,SKILL_CH_SWORD_KNOCKDOWN_A_01,Blood Blade Force,1107,4000,79
22000000,SKILL_CH_SWORD_KNOCKDOWN_B_01,Soul Blade Force,1290,4000,304
23000000,SKILL_CH_SWORD_DOWNATTACK_A_01,Flower Bloom Blade,802,4000,70
24000000,SKILL_CH_SWORD_DOWNATTACK_B_01,Flower Bud Blade,899,4000,317
25000000,SKILL_CH_SWORD_SPECIAL_A_01,Snake Sword Dance,1106,8000,171
26000000,SKILL_CH_SWORD_SPECIAL_B_01,Petal Sword Dance,1106,8000,447
27000000,SKILL_CH_SWORD_PASSIVE_A_01,Shield Protection,0,0,0
28000000,SKILL_CH_SPEAR_BASE_01,SKILL_CH_SPEAR_BASE_01,1166,1166,0
29000000,SKILL_CH_SPEAR_PIERCE_A_01,Wolf Bite Spear,1032,4000,29
2A000000,SKILL_CH_SPEAR_PIERCE_B_01,Waning Moon Spear,1237,4000,142
2B000000,SKILL_CH_SPEAR_PIERCE_C_01,Yuhon Spear,1304,4000,435
2C000000,SKILL_CH_SPEAR_SPIN_A_01,Bloody Fan Storm,0,60000,20
2D000000,SKILL_CH_SPEAR_SPIN_B_01,Bloody Wolf Storm,0,60000,78
2E000000,SKILL_CH_SPEAR_SPIN_C_01,Bloody Snake Storm ,0,60000,195
2F000000,SKILL_CH_SPEAR_FRONTAREA_A_01,Dancing Demon Spear,1138,3000,61
30000000,SKILL_CH_SPEAR_FRONTAREA_B_01,Jade Breaking Spear,844,3000,299
31000000,SKILL_CH_SPEAR_FRONTAREA_C_01,Spirit Crash Spear,977,3000,525
32000000,SKILL_CH_SPEAR_STUN_A_01,Soul Spear - Move,1372,4000,92
33000000,SKILL_CH_SPEAR_STUN_B_01,Soul Spear - Truth,1551,4000,328
34000000,SKILL_CH_SPEAR_STUN_C_01,Soul Spear - Soul,1039,4000,1030
35000000,SKILL_CH_SPEAR_ROUNDAREA_A_01,Ghost Spear - Petal,2200,5000,140
36000000,SKILL_CH_SPEAR_ROUNDAREA_B_01,Ghost Spear - Prince,2500,5000,450
37000000,SKILL_CH_SPEAR_CHAIN_A_1S_01,Chain Spear - Tiger,891,8000,167
38000000,SKILL_CH_SPEAR_CHAIN_A_2S_01,Chain Spear - Tiger,771,0,0
39000000,SKILL_CH_SPEAR_CHAIN_A_3S_01,Chain Spear - Tiger,1071,0,0
3A000000,SKILL_CH_SPEAR_CHAIN_B_1S_01,Chain Spear - Nachal,564,8000,386
3B000000,SKILL_CH_SPEAR_CHAIN_B_2S_01,Chain Spear - Nachal,283,0,0
3C000000,SKILL_CH_SPEAR_CHAIN_B_3S_01,Chain Spear - Nachal,580,0,0
3D000000,SKILL_CH_SPEAR_CHAIN_B_4S_01,Chain Spear - Nachal,873,0,0
3E000000,SKILL_CH_SPEAR_CHAIN_C_1S_01,Chain Spear - Shura,910,8000,660
3F000000,SKILL_CH_SPEAR_CHAIN_C_2S_01,Chain Spear - Shura,537,0,0
40000000,SKILL_CH_SPEAR_CHAIN_C_3S_01,Chain Spear - Shura,845,0,0
41000000,SKILL_CH_SPEAR_CHAIN_C_4S_01,Chain Spear - Shura,576,0,0
42000000,SKILL_CH_SPEAR_CHAIN_C_5S_01,Chain Spear - Shura,1065,0,0
43000000,SKILL_CH_SPEAR_SHOOT_A_01,Flying Dragon - Flow,1165,8000,219
44000000,SKILL_CH_SPEAR_SHOOT_B_01,Flying Dragon - Fly,1256,8000,623
45000000,SKILL_CH_SPEAR_PASSIVE_A_01,Cheolsam Force,0,0,0
46000000,SKILL_CH_BOW_BASE_01,SKILL_CH_BOW_BASE_01,840,840,0
47000000,SKILL_CH_BOW_CRITICAL_A_01,Anti Devil Bow - Missile,530,4000,21
48000000,SKILL_CH_BOW_CRITICAL_B_01,Anti Devil Bow - Wave,530,4000,122
49000000,SKILL_CH_BOW_CRITICAL_C_01,Anti Devil Bow - Steel,530,4000,388
4A000000,SKILL_CH_BOW_CHAIN_A_01,2 Arrow Combo,560,4000,15
4B000000,SKILL_CH_BOW_CHAIN_B_01,3 Arrow Combo,909,4000,90
4C000000,SKILL_CH_BOW_CHAIN_C_01,4 Arrow Combo ,561,4000,299
4D000000,SKILL_CH_BOW_CALL_A_01,White Hawk Summon,1000,1000,51
4E000000,SKILL_CH_BOW_CALL_B_01,Black Hawk Summon,1000,1000,225
4F000000,SKILL_CH_BOW_CALL_C_01,Blue Hawk Summon,1000,1000,436
50000000,SKILL_CH_BOW_PIERCE_A_01,Autumn Wind - Flame,530,5000,50
51000000,SKILL_CH_BOW_PIERCE_B_01,Autumn Wind - Snake,530,5000,198
52000000,SKILL_CH_BOW_PIERCE_C_01,Autumn Wind - Blood,530,5000,559
53000000,SKILL_CH_BOW_NORMAL_A_01,Demon Soul Arrow,0,5000,77
54000000,SKILL_CH_BOW_NORMAL_B_01,Bloody Soul Arrow,0,5000,221
55000000,SKILL_CH_BOW_AREA_A_01,Berserker Arrow,530,8000,132
56000000,SKILL_CH_BOW_AREA_B_01,Demon Arrow,530,8000,403
57000000,SKILL_CH_BOW_POWER_A_01,Strong Bow - Spirit,530,8000,230
58000000,SKILL_CH_BOW_POWER_B_01,Strong Bow - Vision,530,8000,583
59000000,SKILL_CH_BOW_PASSIVE_A_01,Mind Concentration,0,0,0
5A000000,SKILL_CH_COLD_GIGONGTA_A_01,Ice River Force,0,6000,52
5B000000,SKILL_CH_COLD_GIGONGTA_B_01,Ice Jade Force,0,7000,206
5C000000,SKILL_CH_COLD_GIGONGTA_C_01,Ice Ocean Force,0,9000,497
5D000000,SKILL_CH_COLD_GANGGI_A_01,Weak Guard of Ice,1000,2000,72
5E000000,SKILL_CH_COLD_GANGGI_B_01,Soft Guard of Ice,1000,2000,249
5F000000,SKILL_CH_COLD_GANGGI_C_01,Power Guard of Ice,1000,2000,581
60000000,SKILL_CH_COLD_GIGONGJANG_A_01,Cold wave - Arrest,1000,4000,98
